Index,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
2363,Private Full Day Tour to Angkor Temples from Siem Reap,Full-day Tours,,,10,34,"Experienced English-speaking tour guide, Private transportation by Tuk Tuk, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2364,Angkor Wat Two Days Tour,Bus Tours,,,48,156,Air-conditioned vehicle,"Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
2365,Phnom Penh Highlights,Bus Tours,,,48,260.77,"Lunch, Lunch, Food and drinks (morning teas, lunches, bottled water), Driver, Transport, Professional guide, Offering at Temple, Hotel pickup, Entry/Admission - Independence Monument, Entry/Admission - Wat Thmey (Killing Fields), Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - The Olympic Stadium, Entry/Admission - Russian Market, Entry/Admission - Royal Palace, Entry/Admission - National Museum of Cambodia, Entry/Admission - Experience Cambodian Living Arts, Entry/Admission - Wat Phnom, Entry/Admission - Central Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2366,Private 4 Day Trip: Phnom Penh-Kampung Thom & Siem Reap,Bus Tours,,,72,805.13,"Private English Tour Guide, Private Transportation with A/C, Pure Drinking Water, Cold Towel, Pick-up & Drop-off at the lobby of hotel where you are staying, Entry/Admission - Skun Spider Sanctuary","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2367,Big Tour & Banteay Srei Temple Small Group,Full-day Tours,,,7,29,"Tour guide, Drinking Water, Transport","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
2368,Kompong Kleang floating village and Ancient Temples Explorer,Full-day Tours,,,8,57.7,"Air-conditioned vehicle, Experienced English speaking local guide, Pick up & drop off (from/at your hotel), Cool water and towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2369,Private Phnom Kulen 1000 lingas waterfall by Lexus,Full-day Tours,,,7,83.34,"Professional English speaking tour guide, Lexus/minivan/bus and driver, Cool pure drinking water and towels, Pick up and drop off, Gratuity is recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2370,Kulen`s Waterfall Adventure,Adventure Tours,,,8,62.5,"VIP Van, Local lunch, Cold towels and premium water, Pick up & drop off, Snacks, Licensed guide, Passenger Insurance, max $10,000,00","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2371,3hrs - Buddhist Waterblessing,Adventure Tours,,,3,25.65,"Driver/guide, Transport by private vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2372,Temples De-Coded Interactive Show presenting the stories behind Angkor History,Theater Shows,,,1,19,"Admission ticket, Entry/Admission - Bambu Stage Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2373,Full-Day Sunrise Angkor Wat Tours,Bus Tours,,,8,76.93,"Experienced local English speaking tour guide, Pick up & drop off at your hotel in Siem Reap, Traveling in air conditioning vehicle, All taxes & service charges, Cold bottled water & wet tissue","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2374,8-day Phnom Penh Siem Reap Angkor temples Floating village,Bus Tours,,,72,1070.77,"Breakfast, Breakfast, Lunch, Dinner, Dinner, Breakfast, Lunch, Lunch, Breakfast, Lunch, Breakfast, Breakfast, Lunch, Breakfast, Air-conditioned vehicle, Accommodation in Double/Twin shared with daily breakfast, Entrance fees as mentioned in the program, English-speaking tour guide (other languages available upon request), Water during transfer, Boat trip in Tonle Sap, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - National Museum, Entry/Admission - Wat Phnom, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Tonle Bati, Entry/Admission - West Baray, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Angkor Wat, Entry/Admission - Ta Prohm Temple, Entry/Admission - Prasat Kravan, Entry/Admission - Banteay Kdei, Entry/Admission - Srah Srang, Entry/Admission - Thommanon, Entry/Admission - Chau Say Tevoda, Entry/Admission - Preah Khan, Entry/Admission - Neak Pean, Entry/Admission - Ta Som, Entry/Admission - Pre Rup, Entry/Admission - Tonle Sap Lake, Entry/Admission - Wat Bo Temple, Entry/Admission - Wat Bo Temple, Entry/Admission - Wat Thmey (Killing Fields), Entry/Admission - Artisans d'Angkor","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2375,Siem Reap Discovery Full Day Private Guided Tour,Full-day Tours,,,7,112.83,"Private Guide, Lunch, Bottled water, Coffee and/or Tea, Driver, Hotel pickup, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2376,Kulen waterfall 1000 Shiva lingas Tour,Full-day Tours,,,7,115.39,"English speaking tour guide with license, Cool pure drinking water, Local taxes, gratuity is recommended, Kulen Ticket, Beng Mealea Ticket, driver and motorcyle helmet","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2377," Siem Reap Tour Guide ( VIP Private Sunrise Tour, Angkor Wat, Bayon & Ta Prohm )",Bus Tours,,,6,20,"Hotel pickup and drop off, Private Tour, All local taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2378,Angkor Wat avoid crowd Private bike tour,Full-day Tours,,,7,111.8,"Standard mountain bicycle and helmet., English speaking tour guide with license., Cold bottles of Water, Fruit Snack., Gratuity is recommended, Entry/Admission - Angkor Archaeological Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2379,Banteay srey temple,Bus Tours,,,24,190,"Air-conditioned vehicle, English Speaking Guide (1Day Tour)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2380,SIEM REAP E-BIKE HALF-DAY COUNTRYSIDE (25-30 km),Full-day Tours,,,5,44.88,"English Speaking tour guide, Hotel pickup and drop off, Modern E-Bike, high quality, fully charge and maintain with helmet, Snack and refreshments","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
2381, Countryside and Silk Farm Tour by Tuk Tuk,Bus Tours,,,4,39.38,"Air-conditioned vehicle, Cool water and towels, Experienced English speaking local guide, Pick up / drop off from / at your hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2382,Bird Watching at Tonle Sap’s Inundated Forest,Bus Tours,,,7,279.5,"All taxes, fees and handling charges, A full-day tour with a professional English-speaking guide, Transportation by air-conditioned vehicle with professional driver, Boat ride over the Tonle Sap Lake, All entrance fees for visits as mentioned in the description, Lunch at a local home is included (food only), Entry/Admission - Prek Toal Bird Sanctuary","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2383,7hr- Temples of Angkor Small Group-Join-in Tour (by Join-In luxury MiniBus),Full-day Tours,,,6,25,"Experienced and licensed English speaking tour guide, Bottled water & cool towel, Hotel pickup (4:20am to 4:50am), Hotel Drop off (12:30pm)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2384,Bike Tour to Visit Angkor Wat including Lunch,Full-day Tours,,,8,65,"Professional English tour guide, Use of bicycle and safety equipment, 1 Lunch & Drinks on your own account, Bottled water, Snacks, All local applicable taxes, Entry/Admission - Angkor Wat, Entry/Admission - Bayon Temple, Entry/Admission - Srah Srang, Entry/Admission - Ta Prohm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2385,Cambodian Private Cooking Class at a Local's Home,Cooking Classes,,,3,25,"3 course meal that you have prepared, Extra on a visits local market with local guide, Experienced local host/guide, Lunch, Hotel pickup and drop off by tuk tuk ( Romork ), Ingredients for your dishes, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2386,Sihanoukville Intercity,Adventure Tours,,,7,300,"Drop-off at Sihanoukville hotel or Sihanoukville airport, Bottled water & Cold Towels, Hotel pick-up, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2387,Phnom Penh Genocide Museum (S21) Private Guided Half Day Tour,Bus Tours,,,4,79,"Private transportation, Private Guide, Entrance Fee’s, Coffee and/or Tea, Bottled water, Offering for Cleansing Ceremony, Entry/Admission - The Olympic Stadium, Entry/Admission - Russian Market, Entry/Admission - Tuol Sleng Genocide Museum","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2388,Explore Angkor Wat Sunrise Private Tour,Full-day Tours,,,7,46.16,"Cold water/ cold towel, English speaking tourguide, Air Conditioner car, Coconut water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2389,Private Taxi tour: Explore Angkor Temples with Sunrise,Full-day Tours,,,8,27,"Vaccinated Experienced English Speaking Driver with license, Private Vehicle With Air-conditioned, Free Cool Water & Cool Towels During Tour, Parkings, Toll & Petrol","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2390,Siem Reap Highlight 4 Nights 5 Days Package,Bus Tours,,,72,374.36,"4 nights accommodation as selected with daily breakfast, Transportation in private air-conditioned vehicles, 2 times lunch on Day2 and Day3, Angkor 1 day pass, English speaking guide during tour, Cold drink water on tour, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Angkor Wat, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Wat Thmey (Killing Fields), Entry/Admission - Beng Mealea","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2391,Fabulous Sunrise Small Group of Angkor Wat Private Tour,Bus Tours,1,5,9,115,"Airconditioned vehecle with insurance, Full day experienced tour guide, Unlimited water bottle and wet towel, Hotel pick up and drop off provision","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2392,Private Two Day Tour included Tonle Sap Lake,Bus Tours,,,48,221.54,"Private English Speaking Tour Guide, Private Transportation, Pure Drinking Water, hotel pick up & drop off, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Phimeanakas, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Ta Prohm Temple, Entry/Admission - Angkor Wat, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2393, Phnom Kulen Adventure with Champagne Picnic,Full-day Tours,,,9,90.11,"Air-conditioned vehicle, Boat rental, Cool water and towels, Entrance to the floating village, Experienced English speaking local guide, Pick up / drop off from / at your hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2394,2 Days Private Tours From Sunrise Angkor Wat And Sunset Tonle Sap Lake,Bus Tours,,,48,240,"Private air-conditioning car/SUV/minivan, Professional tour guide in history and photography guide, Toll roads, parking lots, gasoline, Chilled waters and wipes","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
2395,Discover Angkor Wat Full Day -Small Group,Full-day Tours,,,7,22,"English Speaking Tour Guide, Hotel Pick up and Drop Off, Air-condition Vehicle, Bottle Of Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2396,Private Taxi Transfer From Phnom Penh - Battambang City,Bus Tours,,,6,65.47,"Experienced English speaking driver, Air-conditioning vehicle ( SUV car/ Minivan), Free miniral water during the journey, Petrol, parkling fees and toll.","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2397,Transport (Poipet Border to Pattaya Hotel),Bus Tours,,,4,300,"Air-conditioned vehicle, Private transportation","Asia, Cambodia, Banteay Meanchey Province, Poipet, Things to Do in Poipet, Poipet Tours, Tours and Tickets"
2398,"Sidetrack, Sidecars",Rentals,,,8,110,"• Safety briefing • Pick up/Drop off from your Hotel • CHANG JIANG 750 motorcycle and sidecar • Helmet • Local experienced drivers • Fuel, other","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2399,Circus Workshop and Show,Art Classes,,,4,70.77,"Circus Workshop, Circus Performance Ticket, Dinner, Return transfer by Remork (Tuk Tuk) from/to your hotel in town","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2400,Private 4 Day Adventure To Temples included with Tonle Sap Lake,Bus Tours,,,72,187.7,"Private Transportation, Private Tour Guide, Pure Drinking Water, hotel pick up & drop off, Entry/Admission - Prasat Prei Monti, Entry/Admission - Angkor Wat, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Neak Pean, Entry/Admission - Preah Khan, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Phimeanakas, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Ta Prohm Temple, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2401,5 Days Cambodian Civilization Discovery,Multi-day Tours,,,72,558,"Transportation in private air-conditioned vehicles, Lunch, Lunch, Dinner, Angkor Park 3 Days Pass, English speaking guide, Entry/Admission - Angkor National Museum, Entry/Admission - Bakong, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Siem Reap, Entry/Admission - Phnom Kulen National Park, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom, Entry/Admission - Ta Prohm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2402,Full Day Angkor Wat with Sunset by Tuk Tuk,Full-day Tours,,,7,38,"Licensed and Experienced English Speaking Tour Guide, Travel by tuk-tuk (motorised trolley), Mineral Water, Hotel pickup and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2403,"The Ultimate Day in Phnom Penh SMALL GROUP TOUR including, deluxe lunch",Bus Tours,,,6,88.21,"Air-conditioned vehicle, Professional Licensed English Speaking guide, Sightseeing as specified in the itinerary including entrance fees, Enjoy our Lunch at Friends Restaurant is famous not only in Phnom Penh but across the world. This vibrant and colourful training restaurant has become a must-visit place., Bottles of mineral water per person while sightseeing and transfers, Included admission fee to visit the royal palace $10.00 person, Included admission fee to visit the National Museum $10.00 person, Included admission fee to visit the Tuo l Sleng Genocide Museum $5.00 person, Entry/Admission - Royal Palace, Entry/Admission - National Museum of Cambodia, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Friends 'n' Stuff","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2404,A Zipline View of Angkor Magnificence,Adventure Tours,,,5,124,"A half-day tour with a professional English-speaking assistance (no guide) at the zip-line park, Transportation by air-conditioned vehicle with professional driver., Use of a well-maintained zip-line and abseiling equipment during the tour, complete with helmet, All entrance fees for visits as mentioned in the description., All applicable taxes and service charges, 3rd party accident insurance","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2405,1 Day - Sambor Prey Kuk from Siem Reap,Bus Tours,,,7,250,"All local applicable taxes, English Speaking Guide, Experienced & safe driver, Free cool & cool towels during touring, Entry/Admission - Sambor Prei Kuk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2406,Bike Ride In Siem Reap Countryside,Bike Tours,,,4,49,"Pick up and Drop off, Bicycle with Helmet, Bottled water, Local snacks and fruits","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2407,Private Kompong Floating Village Sunset By War Jeep,Full-day Tours,,,7,64.62,"English speaking tour guide, War Jeep and licensed driver, Cold water and Cold towels, gratuity is recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2408,Full-Day Countryside Cycling Tour from Siem Reap,Bike Tours,,,6,102.57,"Bicycle Hire, English Speaking Tour Guide, Transport","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2409,Phnom Kulen National Park Jeep Tour 1 day,Full-day Tours,,,7,109.75,"All land transportation by US Army Jeep, ENGLISH speaking guide, All Fees and Taxes, Entrance Fee for National Park, Mineral water and cold tissues on tour, Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2410, 2-Day Journey in Siem Reap and Kampong Thom,Bus Tours,,,48,285.35,"Pick up & drop off from / at your hotel, Experienced English speaking guide, Air-conditioned vehicle, Cool water and towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2411,Private Car or Van transfer Siem Reap or Phnom Penh Destination,Walking Tours,,,6,70,"Private transportation, Bottled water, Hotel pickup and drop-off (if airport surcharge 20USD per car), Good car with good air conditioned, Professional driver, Toilet stop","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2412,1 Day- Angkor Wat Small Circuit Tour & English Tour Guide,Full-day Tours,,,8,15,"Professional English Speaking Tour Guide, All local applicable taxes, Free cool & cool towels during touring, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom, Entry/Admission - Bayon Temple, Entry/Admission - Ta Prohm Temple, Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2413,Full-Day Angkor Wat Sunrise Private Tour with Guide,Adventure Tours,,,6,15,"Professional English Speaking Guide, Hotel pickup/drop-off, Cold Water & Cold Towel on Trip","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2414,Siem Reap Airport Transfers,Bus Tours,2,1,1,17.4,"A friendly driver, Air Conditioner vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2415,Kulen Elephant Safari,Full-day Tours,,,7,120,"Transportation by Mini Van pickup and drop off from office, Local English Speaking Guide, Cool Water, Local Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2416,"Adventure Tour to Beng Mealea , Koh Ker temple and Peah Vihear Temple",Full-day Tours,,,11,150,"Driver English Speaking guide, Bottled water on tour, Air-conditioned vehicle, Professional English Speaking Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2417, Angkor Wat Sunrise Small Tours -Join-in Small Group,Bus Tours,,,6,20,"Transportation at your choice TukTuk/Car/Minivan, Cold water & local snack during tour, Professional English speaking guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2418,3 Hours Dessert Cooking Activity in Cambodia,Cooking Classes,,,3,32,3 delicious desserts made by yourself!,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2419,Sunrise Small Circle Tour of Angkor Wat,Full-day Tours,,,8,30,"Experienced and licensed English speaking tour guide, Bottled water & cool towel, Hotel pickup and drop-off, All local applicable taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2420,Siem Reap Guided Day Trip to Local Village and Cooking Class,Cooking Classes,,,4,29,"Experienced local host/chef, Hotel pickup and drop-off by tuk tuk, Ingredients, 4-course meal, Cool bottled of water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2421,Private Angkor Wat 1 day tour with car and Professional English Tour Guide,Bus Tours,,,6,48,"Hotel pickup and drop-off, Private tour, Car with A/C, English professional guide, All local applicable taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2422,Half-Day Phnom Penh Food Tour,Tuk Tuk Tours,,,6,60,"Hotel pickup and drop-off, Transfers by tuk-tuk, Private guide, Food and snacks during the tour","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2423,A Gondola Experience at Angkor,Private Sightseeing Tours,2,2.5,1,47.45,"A one-hour gondola tour (afternoon only) with a professional English-speaking guide., Transportation by air-conditioned vehicle with professional driver., All applicable taxes and service charge, Entry/Admission - Kongkear Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2424,Kampong Pluk Floating Village,Adventure Tours,1,2,5,21,"Pick up / drop-off at hotel, Transportation by Minibus / Van, Local Live English Speaking guide, Boat ticket and Tax, Cold drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2425,Full-Day Tour of Kompong Phluk and Tonle Sap Lake by Boat,Full-day Tours,1,5,7,115,"Hotel pickup and drop-off by air-conditioned car, English speaking guides, meals aboard the Queen Tara Riverboat, 2 drinks on board the boat (soft drinks, beers, cocktails, wines or champagne), Tour of the floating fishing villages, Tour of flooded forest and village at Kompong Phluk by row boat(seasonal), All check point fees, Restroom on board, Entry/Admission - Tonle Sap Lake, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2426,Apsara Dance Performance - Including Buffet Dinner & Hotel Pickup,Theater Shows,,,2,29,"Pick-up and drop-off hotel in Siem Reap, Drinking water and cool towel during trip, Entry/Admission (Amazon Angkor Restaurant), Buffet dinner with Apsara Dancing show, Round trip transfer by tuk tuk, Entry/Admission - King's Road Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2427,Half-Day Phnom Penh Food Adventure,Bus Tours,,,3,58,"Hotel pickup and drop-off, All tastings, Dinner including beer and soft drinks, Local guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2428,Siem Reap Airport Transfer US$8 Only,Bus Tours,,,1,5.34,Transfer from and to airport or hotel only,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2429,Siem Reap: Behind the Scenes City Tour,Private and Luxury,,,3,23.59,"Private transportation, All Fees and Taxes, Community Contributions, Bottled water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2430,Night Market with tuk tuk transport - Apsara Show Dinner & Pubstreet,Adventure Tours,1,1,4,35,"Tuk Tuk for transport, Dinner Apsara Show at local restaurant, Mineral Water, Pickup and from hotel client stay, Dinner, Entry/Admission - Angkor Village Apsara Theatre, Entry/Admission - Angkor Village Apsara Theatre","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2431,Tuol Sleng Museum and Russian Market Half-day Tour,Bus Tours,,,4,53.85,"A half day tour with a professional English-speaking guide., Transportation by car / mini-van / coach with professional driver., All entrance and donation fees for visits as mentioned in the description, All applicable taxes and service charges, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Russian Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2432,Bokor Mountain Hill Station Private Tour,Full-day Tours,1,1,7,65,"All transport, Delicious lunch, Tour guide, Boat trip, Entry/Admission - Bokor Hill Station","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
2433,Angkor Temple Full Day Tour by Join In luxury MiniBus,Adventure Tours,1,1,7,25,"Cold Water during tour, Professional English-speaking guide, Transport by luxury air-conditioned mini-bus, Hotel pick-up and drop off (if requested), Pick up from hotel at 7.30 am","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2434,Siem Reap Airport Taxi (Airport - Hotel - Airport),Full-day Tours,,,1,13,"All local taxes, Fuel, Safety and safe experience driver, Cold towel and water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2435,Preah Vihear & Koh Ker Temple,Full-day Tours,1,1,7,69,"Pick up and Drop off, Private luxury car, Cool drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2436,Phnom Penh Sunset Cruise Including BBQ and Drinks,Sunset Cruises,1,1,3,42.83,"Free hotel pickup and drop-off, Sunset cruise, BBQ., Unlimited drinks including beer, wine, spirits, and soft drinks, English-speaking tour guide, Entry/Admission - Mekong River, Entry/Admission - Tonlé Sap River","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
2437,Local Livelihood Full Day Bike Tour in Battambang,Full-day Tours,18,5,6,50,"Local guide, Snacks, Water, Hotel pickup, Mountain Bike and Safety Helmet, One drink at Kinyei Cafe, Lunch, Bottled water","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
2438,Private Tour Angkor Wat 3 Days - Banteay Srey (37Km) - Beng Mealea (75Km),Bus Tours,9,5,72,334.35,"Car (Mini LEXUS RX300) or Minivan (Mercedes Istana), gasoline, driver, Fully licensed English speaking tour guide, Mineral pure drinking water and cold handkerchief","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
